participant,nationality,gender,maritalstatus,eduLevel,ParentsEdu,income,employment,major,handedness,Medicalhistory,developmentHist,nativelanguage,lingualAbility,multilingual_1,multilingual_1_TEXT,multilingual_2,multilingual_2_TEXT,multilingual_3,multilingual_3_TEXT,multilingual_4,multilingual_4_TEXT,multilingual_5,multilingual_5_TEXT,multilingual_6,multilingual_6_TEXT,multilingual_7,multilingual_7_TEXT,multilingual_8,multilingual_8_TEXT,multilingual_9,multilingual_9_TEXT,multilingual_10,multilingual_10_TEXT,mathlanguage_1,multiplylanguage,schooltype_1,difficultiesmath,learnmultiplytable,peercomparison,peercomparison2,rateownfluency_1,dyslexia,mathanxious,examanxious,memory,ethnicity_value,major_relabel
8770,Malaysian,Female,Single (never married),"Some college, no degree","Yes, father only","RM 3,170 - RM 3,969",Student,Bsc Psychology and Cognitive Neuroscience,Right,No,No,English,Yes,80,English,70,Chinese,80,Cantonese,45,Bahasa Melayu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,Yes,Yes,4.5,No,Yes,Yes,Yes,Chinese,Psychology
916438355576,Malaysian,Female,Single (never married),"Master's degree (e.g. MA, MS, MEd)","Yes, father only","RM 15,039 or more",Employed full time (40 or more hours per week),Masters in Health Sciences (Diagnostic Imaging and Radiotherapy),Right,No,No,English,Yes,100,English,90,Bahasa Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,public_malay,Yes,Yes,Yes,Yes,7.5,No,Yes,Yes,No,Malay,Health_science
8971,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 5,880 - RM 7,099",Student,Bachelor of Science in Psychology and Cognitive Neuroscience,Right,No,No,English,Yes,100,English,80,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malay,English,public_malay,Yes,Yes,Yes,Yes,7,No,Yes,Yes,Yes,Malay,Psychology
8953,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, father only","RM 15,039 or more",Student,Psychology,Right,No,No,English,Yes,30,Chinese,30,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,Yes,Yes,No,No,7.5,No,Yes,Yes,No,Chinese,Psychology
8917,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 15,039 or more",Student,Psychology,Right,Yes,No,Bahasa Malaysia (Northern/Central/Southern accent),Yes,75,english,50,korean,10,arabic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malay,Malay,private_intl,No,No,No,No,8.5,No,No,Yes,No,Malay,Psychology
8899,Malaysian,Male,Single (never married),High school degree or equivalent (e.g. GED),No,"RM 10,960 - RM 15,039",Student,Psychology and Cognitive Neuroscience,Left,No,No,Mandarin,Yes,85,Malay,90,English,70,Hokkien,75,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,No,10,No,No,Yes,No,Chinese,Psychology
517308643925,Malaysian,Female,Single (never married),"Some college, no degree","Yes, father only","RM 10,960 - RM 15,039",Student,Arts,Right,No,No,Tamil,Yes,100,English,85,Malay,50,Tamil,30,Japanese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,public_malay,No,Yes,No,No,8.5,No,No,Yes,Yes,Indian,Arts_communication
838440669607,Malaysian,Female,Single (never married),"Some college, no degree","Yes, mother only","RM 15,039 or more",Student,Psychology,Right,No,No,English,Yes,100,English,50,Malay,30,Chinese,40,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,public_malay,No,Yes,Yes,Yes,5,No,Yes,Yes,No,Chinese,Psychology
933126141410,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)",No,"RM 15,039 or more",Student,psychology,Right,No,No,Cantonese,Yes,90,Mandarin,65,English,55,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,No,No,9,No,No,Yes,No,Chinese,Psychology
651964771235,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 15,039 or more",Student,psychology,Right,No,No,English,Yes,95,english,30,urdu,50,bahasa melayu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,No,Yes,Yes,No,6.5,No,Yes,Yes,Yes,Mixed,Psychology
8932,Malaysian,Male,Single (never married),"Some college, no degree","Yes, both parents","RM 15,039 or more",Unemployed not currently looking for work,Bsc Psychology and Cognitive Neuroscience,Right,No,No,English,Yes,30,Mandarin,60,Bahasa Malaysia,10,Japanese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,Mandarin,private_intl,No,Yes,No,No,8.5,No,No,Yes,No,Chinese,Psychology
176876591960,Malaysian,Non-binary/ third gender,Single (never married),"Some college, no degree","Yes, mother only","RM 3,970 - RM 4,849",Student,Psychology,Right,No,Yes,English,Yes,95,Malay,25,Chinese,10,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,public_malay,Yes,Yes,No,No,9.5,No,Yes,Yes,No,Chinese,Psychology
961552420957,Malaysian,Female,Single (never married),"Some college, no degree",NA,NA,Student,Psychology,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,Psychology
8929,Malaysian,Male,Single (never married),"Bachelor's degree (e.g. BA, BS)","Yes, both parents","RM 15,039 or more",Student,Psychology and Cognitive Neuroscience,Right,No,No,English,Yes,75,Chinese,85,Bahasa Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,No,Yes,8,No,No,Yes,No,Chinese,Psychology
822385097411,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 10,960 - RM 15,039",Student,Psychology,Right,No,No,English,Yes,90,English,90,Mandarin,60,Bahasa Malaysia,70,Cantonese,10,French,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,Yes,No,8,No,No,Yes,Yes,Chinese,Psychology
8986,Malaysian,Male,Single (never married),High school degree or equivalent (e.g. GED),"Yes, mother only","RM 15,039 or more",Student,psychology,Right,No,No,Mandarin,Yes,70,English,60,Chinese,25,Hokkien,25,Malay,50,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,No,Yes,7.5,No,Yes,Yes,Yes,Chinese,Psychology
8902,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 8,700 - RM 10,959",Student,Psychology and cognitive neuroscience,Right,No,No,Mandarin,Yes,100,English,80,Malay,55,Hokkien,55,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,No,Yes,7.5,No,No,Yes,No,Chinese,Psychology
8824,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, father only","RM 3,970 - RM 4,849",Student,Psychology,Right,No,No,Mandarin,Yes,100,English,60,Bahasa Melayu,80,Korean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,Yes,No,Yes,No,9.5,No,No,No,No,Chinese,Psychology
8533,Malaysian,Female,Single (never married),"Some college, no degree","Yes, father only","RM 7,110 - RM 8,699",Student,Psychology,Right,No,No,Mandarin,Yes,80,Malay,70,English,95,Fuchow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,Yes,Yes,No,Yes,8,No,Yes,Yes,No,Chinese,Psychology
8761,Malaysian,Female,Single (never married),"Some college, no degree",NA,"Less than RM 2,500",Student,Psychology Year 1,Right,No,No,Mandarin,Yes,100,English,100,Malay,100,Chinese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malay,Mandarin,public_malay,No,No,No,No,10,No,Yes,Yes,No,Chinese,Psychology
8872,Malaysian,Female,Single (never married),"Some college, no degree",NA,"RM 5,880 - RM 7,099",Student,psychology,Right,No,No,Mandarin,Yes,85,mandarin,70,bahasa melayu,70,english,50,hokkien,45,cantonnese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,No,Yes,Yes,4.5,No,Yes,Yes,No,Chinese,Psychology
8920,Malaysian,Male,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","Less than RM 2,500",Student,NA,Right,No,No,English,Yes,90,English,15,Chinese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,English,English,private_intl,No,Yes,Yes,Yes,6,No,Yes,Yes,No,Chinese,NA
10011,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),No,"RM 2,500 - RM 3,169",Student,Bachelor of Communication (Honours) Broadcasting,Right,No,No,Mandarin,Yes,70,English,70,Bahasa Malaysia,25,Japanese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,Yes,8,No,No,Yes,No,Chinese,Arts_communication
10012,Malaysian,Female,Single (never married),"Some college, no degree",No,"RM 15,039 or more",Student,Broadcasting,Right,No,No,Mandarin,Yes,60,Chinese,65,English,55,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,Yes,Yes,No,Yes,7,No,No,Yes,No,Kadazandusun,Arts_communication
10014,Malaysian,Male,Single (never married),"Some college, no degree",NA,"Less than RM 2,500",Student,law enforcement,Right,No,No,Bahasa Malaysia (Northern/Central/Southern accent),Yes,80,Enter the language here,100,kadazandusun,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,Malay,Malay,public_malay,Yes,No,No,Yes,5,Yes,Yes,Yes,Yes,Kadazandusun,Law
10015,Malaysian,Male,Single (never married),"Some college, no degree","Yes, both parents","Less than RM 2,500",Student,Diploma Enforcement and Compliance,Right,No,No,Bahasa Malaysia (Northern/Central/Southern accent),Yes,80,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malay,Malay,public_malay,Yes,Yes,No,Yes,5,Yes,Yes,Yes,Yes,Kadazandusun,Law
10013,Malaysian,Female,Single (never married),Less than a high school diploma,No,"Less than RM 2,500",Student,NA,Right,No,No,Bahasa Malaysia (Northern/Central/Southern accent),Yes,50,english,15,korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,Malay,public_malay,Yes,Yes,Yes,No,5.5,No,No,No,Yes,Malay,NA
10010,Malaysian,Female,"Married, or in a domestic partnership",High school degree or equivalent (e.g. GED),No,"Less than RM 2,500",Student,currently studying in Broadcasting Communication,Right,No,No,Mandarin,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,No,Yes,8,No,Yes,Yes,No,Chinese,Arts_communication
10019,Malaysian,Female,Single (never married),"Some college, no degree","Yes, father only","RM 5,880 - RM 7,099",Student,Advertising & Design,Right,No,No,Mandarin,Yes,85,English,40,Malay,40,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,No,Yes,7,No,Yes,No,No,Chinese,Arts_communication
10021,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)",No,"Less than RM 2,500",Student,Psychology,Right,No,No,Mandarin,Yes,85,Mandarin,70,Malay,70,English,20,German,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,No,9,No,Yes,Yes,No,Chinese,Psychology
10020,Malaysian,Female,Single (never married),"Some college, no degree",No,"RM 4,850 - RM 5,879",Employed full time (40 or more hours per week),broadcasting communication,Right,No,No,Mandarin,Yes,85,mandarin,60,cantonese,65,english,55,bahasa malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Chinese,Arts_communication
10022,Malaysian,Male,Single (never married),"Bachelor's degree (e.g. BA, BS)","Yes, both parents","RM 3,170 - RM 3,969",Student,-,Right,No,No,Mandarin,Yes,90,CN,80,Eng,60,BM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,No,Yes,9.5,No,Yes,Yes,Yes,Chinese,-
10024,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)","Yes, both parents","RM 4,850 - RM 5,879",Employed part time (up to 39 hours per week),NA,Right,No,No,Mandarin,Yes,80,English,35,Malay,20,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dual,Mandarin,Chinese_vernacular,No,Yes,Yes,No,8,No,No,Yes,No,Chinese,NA
10025,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)",No,"RM 8,700 - RM 10,959",Student,Master of Social Science (Industrial and Organizational Psychology),Right,No,No,Mandarin,Yes,70,English,65,Malay,50,Hokkien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,Yes,Yes,8,No,No,Yes,Yes,Chinese,Psychology
10017,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)",No,"RM 2,500 - RM 3,169",Student,Broadcasting,Right,No,No,Mandarin,Yes,80,Malay,70,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,Yes,Yes,Yes,No,8,No,Yes,Yes,Yes,Chinese,Arts_communication
10016,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","RM 2,500 - RM 3,169",Student,Broadcasting,Right,No,No,Mandarin,Yes,100,Chinese,70,English,60,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Englsih,Chinese_vernacular,Yes,Yes,No,No,9,No,No,Yes,No,Chinese,Arts_communication
10028,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)",No,"RM 2,500 - RM 3,169",Student,creativity,Right,No,No,Mandarin,Yes,80,Bahasa Melayu,70,Bahasa Inggeris,80,Hokkien,60,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,Yes,Yes,Yes,Yes,8.5,No,No,Yes,No,Chinese,Arts_communication
10029,Malaysian,Male,Single (never married),Less than a high school diploma,"Yes, both parents","RM 3,970 - RM 4,849",Student,likely to be IT or CS related,Left,No,No,Mandarin,Yes,80,English,80,Chinese,50,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,No,Yes,No,Yes,7,No,No,No,Yes,Chinese,Computer_sc
10026,Malaysian,Female,"Married, or in a domestic partnership","Bachelor's degree (e.g. BA, BS)","Yes, both parents","RM 5,880 - RM 7,099",Student,Master in Science (Psychology),Right,No,No,Bahasa Malaysia (Northern/Central/Southern accent),Yes,100,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,public_malay,No,Yes,No,Yes,9,No,No,Yes,Yes,Malay,Psychology
10027,Malaysian,Male,Single (never married),Less than a high school diploma,No,"RM 3,170 - RM 3,969",Student,Broadcasting,Right,Yes,No,English,Yes,40,Mandarin,65,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,Yes,Yes,No,Yes,5,No,No,No,Yes,Chinese,Arts_communication
10018,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","RM 8,700 - RM 10,959",Student,Communication in broadcasting,Right,No,No,Mandarin,Yes,75,Bahasa Melayu,90,English,70,Cantonese,30,French,30,Korean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dual,Mandarin,Chinese_vernacular,Yes,Yes,No,No,8.5,No,No,Yes,No,Chinese,Arts_communication
10030,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),No,"RM 3,970 - RM 4,849",Student,Pharmacy,Right,No,No,Mandarin,Yes,70,English,55,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,Yes,Yes,8.5,No,Yes,Yes,Yes,Chinese,Pharmacy
